# KLIBS INFO
#  > KLibs Commit: f3114ba150b1539d5e7d18ebe5fe32efa02ee24e
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 60
#  > Blocks Per Experiment: 8
#
# SYSTEM INFO
#  > Operating System: OS X 10.11.6
#  > Python Version: 2.7.12
#
# DISPLAY INFO
#  > Screen Size: 24" diagonal
#  > Resolution: 2560x1440 @ 60Hz
#  > View Distance: 57 cm

participant	gender	age	handedness	random_seed	block_num	trial_num	search_type	stimulus_type	present_absent	set_size	target_distractor	distractor_distractor	target_time	target_onset	spatial_response	spatial_rt	temporal_response	temporal_rt
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	4	4	time	COLOR	absent	NA	homo	hetero	-1	NA	NA	NA	present	1486.07722396
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	4	5	time	COLOR	present	NA	homo	hetero	11	4918.23156078	NA	NA	present	1487.22562799
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	4	6	time	COLOR	absent	NA	homo	hetero	-1	NA	NA	NA	present	319.016755035
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	4	7	time	COLOR	present	NA	homo	hetero	7	4250.09828324	NA	NA	present	819.693658967
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	4	8	time	COLOR	absent	NA	homo	hetero	-1	NA	NA	NA	present	485.646059969
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	4	9	time	COLOR	absent	NA	homo	hetero	-1	NA	NA	NA	present	1994.65508095
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	4	10	time	COLOR	absent	NA	homo	hetero	-1	NA	NA	NA	absent	4504.48598497
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	5	1	space	COLOR	absent	8	hetero	hetero	NA	NA	absent	1064.73728799	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	5	2	space	COLOR	present	8	hetero	hetero	NA	NA	present	681.491089985	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	5	3	space	COLOR	present	12	hetero	hetero	NA	NA	present	916.581316967	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	5	4	space	COLOR	absent	16	hetero	hetero	NA	NA	absent	605.619558948	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	5	5	space	COLOR	absent	12	hetero	hetero	NA	NA	absent	734.359694005	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	5	6	space	COLOR	present	16	hetero	hetero	NA	NA	present	487.002507027	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	5	7	space	COLOR	present	12	hetero	hetero	NA	NA	present	451.560118992	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	5	8	space	COLOR	absent	8	hetero	hetero	NA	NA	absent	610.492403968	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	5	9	space	COLOR	present	16	hetero	hetero	NA	NA	absent	535.664690949	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	5	10	space	COLOR	absent	12	hetero	hetero	NA	NA	absent	695.639791025	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	6	1	time	COLOR	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4516.24243299
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	6	2	time	COLOR	present	NA	hetero	hetero	5	3916.5545184	NA	NA	present	1319.75827599
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	6	3	time	COLOR	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4504.20968595
